Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260510 1700;1.35497;1.35514;1.35468;1.35508;8
20260510 1703;1.35508;1.356;1.35499;1.356;18
20260510 1706;1.356;1.35632;1.35556;1.35632;15
20260510 1709;1.35632;1.35642;1.35625;1.35639;21
20260510 1712;1.35639;1.35641;1.3557;1.35585;38
20260510 1715;1.35585;1.35642;1.35576;1.35642;32
20260510 1718;1.35642;1.35656;1.35641;1.35646;22
20260510 1721;1.35646;1.35694;1.35625;1.35628;26
20260510 1724;1.35628;1.35638;1.35572;1.35573;70
20260510 1727;1.35573;1.35655;1.35573;1.35655;144
20260510 1730;1.35655;1.35691;1.35598;1.35664;62
20260510 1733;1.35664;1.35697;1.35655;1.35684;25
20260510 1736;1.35684;1.35697;1.35659;1.35677;143
20260510 1739;1.35677;1.3573;1.35676;1.35719;214
20260510 1742;1.35719;1.35816;1.35703;1.35782;202
20260510 1745;1.35782;1.35782;1.3561;1.35618;295
20260510 1748;1.35618;1.35663;1.35614;1.35631;201
20260510 1751;1.35631;1.35647;1.35623;1.35645;121
20260510 1754;1.35645;1.35646;1.35642;1.35645;11
20260510 1757;1.35645;1.35661;1.35623;1.35628;29
20260510 1800;1.35628;1.35787;1.35628;1.35765;976
20260510 1803;1.35765;1.3581;1.35751;1.35795;193
20260510 1806;1.35795;1.3584;1.35785;1.35825;211
20260510 1809;1.35825;1.35855;1.35825;1.3583;162
20260510 1812;1.3583;1.35863;1.35827;1.35834;260
20260510 1815;1.35834;1.35845;1.35799;1.35806;241
20260510 1818;1.35806;1.3583;1.35805;1.35813;322
20260510 1821;1.35813;1.35817;1.35768;1.35776;282
20260510 1824;1.35776;1.35818;1.35776;1.35816;206
20260510 1827;1.35816;1.35844;1.35816;1.35844;83
20260510 1830;1.35844;1.3587;1.35832;1.35863;286
20260510 1833;1.35863;1.35874;1.35857;1.35857;171
20260510 1836;1.35857;1.35864;1.3585;1.35851;149
20260510 1839;1.35851;1.35852;1.35841;1.35842;157
20260510 1842;1.35842;1.35864;1.35842;1.35858;172
20260510 1845;1.35858;1.35879;1.35855;1.35875;134
20260510 1848;1.35875;1.3589;1.35875;1.35889;106
20260510 1851;1.35889;1.3589;1.35872;1.3588;94
20260510 1854;1.3588;1.35886;1.35879;1.35881;69
20260510 1857;1.35881;1.35894;1.35881;1.35892;106
20260510 1900;1.35892;1.35904;1.35892;1.35895;132
20260510 1903;1.35895;1.35916;1.35893;1.35915;163
20260510 1906;1.35915;1.3592;1.35905;1.35906;110
20260510 1909;1.35906;1.35915;1.35903;1.35907;49
20260510 1912;1.35907;1.35908;1.35905;1.35907;55
20260510 1915;1.35907;1.35942;1.35905;1.35938;171
20260510 1918;1.35938;1.35938;1.35928;1.35935;112
20260510 1921;1.35935;1.35941;1.35929;1.35936;117
20260510 1924;1.35936;1.35946;1.35933;1.35945;91
20260510 1927;1.35945;1.35946;1.35936;1.35937;121
20260510 1930;1.35937;1.35939;1.35926;1.35935;197
20260510 1933;1.35935;1.35942;1.35931;1.35938;190
20260510 1936;1.35938;1.35938;1.35916;1.35925;226
20260510 1939;1.35925;1.35949;1.35919;1.35942;169
20260510 1942;1.35942;1.35968;1.35937;1.3596;140
20260510 1945;1.3596;1.35961;1.3594;1.35956;236
20260510 1948;1.35956;1.35971;1.35955;1.35957;229
20260510 1951;1.35957;1.35959;1.35951;1.35956;157
20260510 1954;1.35956;1.35957;1.35926;1.35926;237
20260510 1957;1.35926;1.35942;1.35926;1.35942;245
20260510 2000;1.35942;1.35957;1.35921;1.35949;769
20260510 2003;1.35949;1.35988;1.35943;1.35983;444
20260510 2006;1.35983;1.35988;1.35961;1.35966;486
20260510 2009;1.35966;1.35968;1.35947;1.35958;509
20260510 2012;1.35958;1.35967;1.35948;1.35955;413
20260510 2015;1.35955;1.35963;1.35938;1.35962;471
20260510 2018;1.35962;1.3598;1.35956;1.35956;502
20260510 2021;1.35956;1.35972;1.35956;1.35967;253
20260510 2024;1.35967;1.35997;1.35963;1.3598;374
20260510 2027;1.3598;1.35988;1.35974;1.35987;269
20260510 2030;1.35987;1.36009;1.35982;1.36003;521
20260510 2033;1.36003;1.3601;1.35991;1.36;425
20260510 2036;1.36;1.36009;1.35997;1.35997;342
20260510 2039;1.35997;1.35998;1.35984;1.35987;320
20260510 2042;1.35987;1.35998;1.35974;1.35982;272
20260510 2045;1.35982;1.3599;1.35975;1.35989;347
20260510 2048;1.35989;1.35989;1.3597;1.35978;312
20260510 2051;1.35978;1.35982;1.35908;1.35919;1172
20260510 2054;1.35919;1.35948;1.35919;1.35937;1032
20260510 2057;1.35937;1.3599;1.35929;1.35989;832
20260510 2100;1.35989;1.36007;1.35957;1.35976;1237
20260510 2103;1.35976;1.36;1.35973;1.35989;645
20260510 2106;1.35989;1.35993;1.35978;1.35987;332
20260510 2109;1.35987;1.35988;1.35926;1.35938;471
20260510 2112;1.35938;1.35971;1.35938;1.3597;441
20260510 2115;1.3597;1.3598;1.35957;1.35969;531
20260510 2118;1.35969;1.35982;1.35959;1.35977;501
20260510 2121;1.35977;1.35996;1.3597;1.35991;441
20260510 2124;1.35991;1.35999;1.35984;1.35987;392
20260510 2127;1.35987;1.3599;1.35978;1.35988;217
20260510 2130;1.35988;1.35997;1.35959;1.35989;554
20260510 2133;1.35989;1.35997;1.35936;1.35936;529
20260510 2136;1.35936;1.3595;1.35923;1.3593;490
