Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-06-04 21:03 (Actual)
End Date: 2026-06-05 16:57 (Actual)
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260604 2103;1.34215;1.34233;1.34202;1.34229;586
20260604 2106;1.34229;1.3424;1.34216;1.34224;421
20260604 2109;1.34224;1.34227;1.34217;1.34224;365
20260604 2112;1.34224;1.34224;1.342;1.34203;390
20260604 2115;1.34203;1.34224;1.34202;1.34206;551
20260604 2118;1.34206;1.34217;1.34195;1.34204;521
20260604 2121;1.34204;1.34206;1.34185;1.34186;420
20260604 2124;1.34186;1.34193;1.34158;1.34164;519
20260604 2127;1.34164;1.34196;1.34164;1.34188;448
20260604 2130;1.34188;1.34225;1.34185;1.34224;457
20260604 2133;1.34224;1.34236;1.34214;1.34216;372
20260604 2136;1.34216;1.34226;1.34208;1.34211;413
20260604 2139;1.34211;1.34217;1.34204;1.34206;413
20260604 2142;1.34206;1.34224;1.34203;1.34223;364
20260604 2145;1.34223;1.3423;1.34217;1.34226;279
20260604 2148;1.34226;1.34231;1.34219;1.3423;360
20260604 2151;1.3423;1.34234;1.34224;1.34233;278
20260604 2154;1.34233;1.34248;1.34232;1.34234;268
20260604 2157;1.34234;1.34246;1.34233;1.34239;328
20260604 2200;1.34239;1.34248;1.34227;1.34247;402
20260604 2203;1.34247;1.34263;1.34245;1.34256;323
20260604 2206;1.34256;1.34261;1.34246;1.34247;224
20260604 2209;1.34247;1.34265;1.34245;1.34264;203
20260604 2212;1.34264;1.34266;1.34254;1.34261;250
20260604 2215;1.34261;1.34278;1.34261;1.34273;322
20260604 2218;1.34273;1.34274;1.34246;1.34258;338
20260604 2221;1.34258;1.34273;1.34257;1.3427;255
20260604 2224;1.3427;1.34284;1.34267;1.34278;286
20260604 2227;1.34278;1.3428;1.34273;1.34276;233
20260604 2230;1.34276;1.34276;1.34264;1.34273;224
20260604 2233;1.34273;1.34274;1.34253;1.34262;278
20260604 2236;1.34262;1.34266;1.34254;1.34257;233
20260604 2239;1.34257;1.34262;1.34247;1.34247;268
20260604 2242;1.34247;1.34249;1.34235;1.34239;412
20260604 2245;1.34239;1.34245;1.34234;1.34238;332
20260604 2248;1.34238;1.34252;1.34233;1.34246;278
20260604 2251;1.34246;1.34255;1.34243;1.34243;274
20260604 2254;1.34243;1.34251;1.3424;1.34247;208
20260604 2257;1.34247;1.34254;1.34241;1.34241;249
20260604 2300;1.34241;1.34246;1.34237;1.34238;408
20260604 2303;1.34238;1.34248;1.34235;1.34237;356
20260604 2306;1.34237;1.34242;1.3423;1.34239;354
20260604 2309;1.34239;1.34245;1.34233;1.34241;256
20260604 2312;1.34241;1.34246;1.34236;1.34238;309
20260604 2315;1.34238;1.34262;1.34238;1.34258;312
20260604 2318;1.34258;1.34261;1.34243;1.34252;262
20260604 2321;1.34252;1.34262;1.34248;1.3426;450
20260604 2324;1.3426;1.34277;1.3426;1.34264;293
20260604 2327;1.34264;1.34265;1.34255;1.34258;208
20260604 2330;1.34258;1.34266;1.34254;1.34258;340
20260604 2333;1.34258;1.34258;1.34248;1.34252;178
20260604 2336;1.34252;1.34259;1.34247;1.34258;214
20260604 2339;1.34258;1.34262;1.34254;1.34262;263
20260604 2342;1.34262;1.34262;1.34252;1.34252;220
20260604 2345;1.34252;1.34269;1.34252;1.34265;147
20260604 2348;1.34265;1.34266;1.34262;1.34262;107
20260604 2351;1.34262;1.34263;1.34253;1.34253;170
20260604 2354;1.34253;1.34264;1.34249;1.34262;292
20260604 2357;1.34262;1.34267;1.34257;1.34264;210
20260605 0000;1.34264;1.34272;1.34262;1.3427;260
20260605 0003;1.3427;1.34273;1.34257;1.3427;217
20260605 0006;1.3427;1.34276;1.34269;1.34272;113
20260605 0009;1.34272;1.34276;1.3427;1.34273;147
20260605 0012;1.34273;1.34277;1.34265;1.34273;153
20260605 0015;1.34273;1.34301;1.34268;1.34299;274
20260605 0018;1.34299;1.343;1.34283;1.34284;166
20260605 0021;1.34284;1.3429;1.34284;1.34288;195
20260605 0024;1.34288;1.34289;1.34279;1.34282;202
20260605 0027;1.34282;1.34282;1.34256;1.34259;312
20260605 0030;1.34259;1.34271;1.34259;1.34269;229
20260605 0033;1.34269;1.34282;1.34268;1.34281;281
20260605 0036;1.34281;1.34287;1.34275;1.34279;333
20260605 0039;1.34279;1.34294;1.34278;1.34292;304
20260605 0042;1.34292;1.34293;1.34283;1.34292;327
20260605 0045;1.34292;1.34293;1.34282;1.3429;219
20260605 0048;1.3429;1.34292;1.34285;1.34286;258
20260605 0051;1.34286;1.34299;1.34285;1.34299;230
20260605 0054;1.34299;1.34313;1.34297;1.34305;210
20260605 0057;1.34305;1.34306;1.34289;1.34289;254
20260605 0100;1.34289;1.34296;1.34281;1.34291;362
20260605 0103;1.34291;1.34294;1.34277;1.34288;360
20260605 0106;1.34288;1.34289;1.3428;1.34282;181
20260605 0109;1.34282;1.34293;1.3428;1.34292;212
20260605 0112;1.34292;1.34292;1.34275;1.3428;210
20260605 0115;1.3428;1.34285;1.34279;1.34284;152
20260605 0118;1.34284;1.34289;1.34282;1.34288;168
20260605 0121;1.34288;1.34295;1.34282;1.34284;249
20260605 0124;1.34284;1.34295;1.34284;1.34289;234
20260605 0127;1.34289;1.34296;1.34286;1.34286;273
20260605 0130;1.34286;1.3431;1.34284;1.34304;292
20260605 0133;1.34304;1.34308;1.34301;1.34303;153
20260605 0136;1.34303;1.34315;1.34302;1.34303;215
20260605 0139;1.34303;1.34305;1.34295;1.34299;261
