🏆 INSTITUTIONAL BACKTEST REPORT [V1.56 - Project Tahamtan (Fixed Core V1.54)] 🏆
Total Trades: 62
Wins: 42 | Losses: 20
Win Rate: 67.74%
Net Units (R): +43.00 R

📅 MONTHLY BREAKDOWN:
- 2026-05 | Trades: 33 | Wins: 23 | Losses: 10 | WR: 69.70% | Net Units: +24.50 R
- 2026-06 | Trades: 28 | Wins: 18 | Losses: 10 | WR: 64.29% | Net Units: +17.00 R
- 2026-07 | Trades: 1 | Wins: 1 | Losses: 0 | WR: 100.00% | Net Units: +1.50 R

📝 DETAILED TRADE JOURNAL:
05-11 Mon Hr:12 | LNG | W | VW:15.2 | Vx:1.1 | PB:5.1 | Prc:4.4 | RN:11.4 | ADX:19 | EG:8.3 | hRSI:51 | ATR:4.7 | B:50 | SL:12.7 | SVR:3.4 | MAE:7.4 | MFE:20.6 | AH:12.5 | AL:-32.2 | LWk:6% | UWk:3% | LO:61.7 | NYO:61.7 | Sq:2 | ATRr:1.09 | HTFd:15.6 | DH:3.2 | DL:64.6 | PRv:0 | TG:1.4
05-12 Tue Hr:13 | SHT | W | VW:-21.6 | Vx:0.8 | PB:3.9 | Prc:3.6 | RN:21.1 | ADX:20 | EG:52.0 | hRSI:48 | ATR:5.5 | B:12 | SL:8.8 | SVR:4.8 | MAE:7.0 | MFE:18.6 | AH:-57.8 | AL:15.4 | LWk:1% | UWk:11% | LO:-79.8 | NYO:-79.8 | Sq:1 | ATRr:1.12 | HTFd:56.2 | DH:81.1 | DL:26.7 | PRv:1 | TG:0.5
05-12 Tue Hr:14 | SHT | W | VW:-23.7 | Vx:0.9 | PB:5.4 | Prc:2.5 | RN:22.2 | ADX:19 | EG:55.4 | hRSI:46 | ATR:6.1 | B:15 | SL:7.5 | SVR:4.2 | MAE:6.4 | MFE:12.0 | AH:-64.5 | AL:22.1 | LWk:16% | UWk:5% | LO:-86.5 | NYO:-86.5 | Sq:1 | ATRr:1.09 | HTFd:59.3 | DH:87.8 | DL:20.0 | PRv:1 | TG:1.8
05-13 Wed Hr:08 | SHT | W | VW:-6.6 | Vx:0.5 | PB:1.3 | Prc:1.9 | RN:21.8 | ADX:18 | EG:25.9 | hRSI:49 | ATR:3.4 | B:8 | SL:5.7 | SVR:3.7 | MAE:5.3 | MFE:13.1 | AH:-23.0 | AL:-4.9 | LWk:14% | UWk:16% | LO:-10.9 | NYO:-10.9 | Sq:1 | ATRr:0.91 | HTFd:28.7 | DH:23.0 | DL:9.4 | PRv:1 | TG:2.0
05-13 Wed Hr:09 | SHT | W | VW:-16.1 | Vx:1.6 | PB:3.2 | Prc:4.5 | RN:18.0 | ADX:18 | EG:27.3 | hRSI:41 | ATR:4.3 | B:69 | SL:16.5 | SVR:3.5 | MAE:7.0 | MFE:25.9 | AH:-33.2 | AL:5.3 | LWk:29% | UWk:9% | LO:-21.1 | NYO:-21.1 | Sq:2 | ATRr:1.13 | HTFd:38.3 | DH:33.2 | DL:2.9 | PRv:1 | TG:5.4
05-14 Thu Hr:07 | SHT | W | VW:-4.1 | Vx:1.3 | PB:2.8 | Prc:2.8 | RN:21.1 | ADX:21 | EG:11.9 | hRSI:56 | ATR:3.1 | B:16 | SL:6.1 | SVR:4.3 | MAE:3.1 | MFE:16.4 | AH:-11.5 | AL:-6.5 | LWk:6% | UWk:0% | LO:-1.3 | NYO:-1.3 | Sq:1 | ATRr:1.25 | HTFd:14.2 | DH:11.5 | DL:6.5 | PRv:1 | TG:1.1
05-14 Thu Hr:08 | SHT | W | VW:-9.5 | Vx:0.7 | PB:3.7 | Prc:2.5 | RN:13.2 | ADX:15 | EG:16.6 | hRSI:47 | ATR:3.3 | B:66 | SL:7.7 | SVR:5.0 | MAE:7.5 | MFE:17.5 | AH:-19.4 | AL:1.4 | LWk:3% | UWk:0% | LO:-9.2 | NYO:-9.2 | Sq:2 | ATRr:1.05 | HTFd:20.8 | DH:19.4 | DL:10.0 | PRv:1 | TG:2.0
05-14 Thu Hr:12 | SHT | W | VW:-11.3 | Vx:0.7 | PB:2.3 | Prc:2.3 | RN:8.3 | ADX:12 | EG:17.5 | hRSI:48 | ATR:4.2 | B:22 | SL:8.5 | SVR:3.7 | MAE:6.7 | MFE:14.4 | AH:-24.3 | AL:6.3 | LWk:3% | UWk:23% | LO:-14.1 | NYO:-14.1 | Sq:2 | ATRr:1.22 | HTFd:22.8 | DH:24.3 | DL:12.6 | PRv:1 | TG:0.9
05-15 Fri Hr:08 | SHT | W | VW:-8.9 | Vx:1.0 | PB:2.7 | Prc:5.5 | RN:8.2 | ADX:14 | EG:97.8 | hRSI:48 | ATR:5.1 | B:16 | SL:9.3 | SVR:3.2 | MAE:4.0 | MFE:14.5 | AH:-17.9 | AL:-23.2 | LWk:32% | UWk:14% | LO:-43.5 | NYO:-43.5 | Sq:1 | ATRr:0.99 | HTFd:100.6 | DH:45.5 | DL:23.2 | PRv:1 | TG:2.2
05-15 Fri Hr:11 | SHT | W | VW:-0.9 | Vx:0.9 | PB:3.4 | Prc:6.2 | RN:12.8 | ADX:31 | EG:80.3 | hRSI:56 | ATR:4.8 | B:17 | SL:9.6 | SVR:5.5 | MAE:3.9 | MFE:14.6 | AH:-13.3 | AL:-27.8 | LWk:12% | UWk:30% | LO:-38.9 | NYO:-38.9 | Sq:3 | ATRr:1.00 | HTFd:82.7 | DH:40.9 | DL:34.9 | PRv:1 | TG:4.7
05-15 Fri Hr:13 | SHT | W | VW:-9.4 | Vx:1.5 | PB:4.0 | Prc:1.2 | RN:2.9 | ADX:14 | EG:80.8 | hRSI:49 | ATR:4.7 | B:3 | SL:7.0 | SVR:4.9 | MAE:4.6 | MFE:12.5 | AH:-23.2 | AL:-17.9 | LWk:26% | UWk:2% | LO:-48.8 | NYO:-48.8 | Sq:1 | ATRr:1.01 | HTFd:85.7 | DH:50.8 | DL:25.0 | PRv:1 | TG:1.4
